"State","County","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days PM2.5","Days PM10"
"Alabama","Baldwin",2024,111,98,13,0,0,0,0,66,51,33,0,0,23,88,0
"Alabama","Clay",2024,121,96,25,0,0,0,0,75,55,28,0,0,0,121,0
"Alabama","DeKalb",2024,152,120,32,0,0,0,0,77,58,42,0,0,116,36,0
"Alabama","Elmore",2024,28,28,0,0,0,0,0,50,47,41,0,0,28,0,0
"Alabama","Etowah",2024,120,74,46,0,0,0,0,93,66,42,0,0,14,106,0
"Alabama","Jefferson",2024,22,16,6,0,0,0,0,88,67,40,0,0,0,22,0
"Alabama","Madison",2024,90,67,23,0,0,0,0,89,59,39,0,0,21,69,0
"Alabama","Mobile",2024,120,78,42,0,0,0,0,77,57,44,0,0,18,101,1
"Alabama","Montgomery",2024,113,70,43,0,0,0,0,75,58,41,0,0,13,99,1
"Alabama","Morgan",2024,121,85,36,0,0,0,0,79,58,36,0,0,18,103,0
"Alabama","Russell",2024,57,41,16,0,0,0,0,98,58,43,0,0,23,34,0
"Alabama","Shelby",2024,31,30,1,0,0,0,0,54,47,40,0,0,31,0,0
"Alabama","Sumter",2024,121,111,10,0,0,0,0,72,47,24,0,0,20,101,0
"Alabama","Tuscaloosa",2024,120,103,15,2,0,0,0,125,53,28,0,0,21,99,0
"Alaska","Anchorage ",2024,92,71,21,0,0,0,0,80,56,26,4,0,0,69,19
"Alaska","Denali ",2024,151,148,3,0,0,0,0,58,44,39,0,0,151,0,0
"Alaska","Fairbanks North Star ",2024,92,27,53,9,2,1,0,220,121,61,1,0,10,81,0
"Alaska","Juneau ",2024,84,63,21,0,0,0,0,73,56,30,0,0,0,84,0
"Alaska","Matanuska-Susitna ",2024,91,73,18,0,0,0,0,74,60,19,0,0,0,87,4
"Arizona","Apache",2024,179,179,0,0,0,0,0,40,26,11,0,0,0,2,177
"Arizona","Cochise",2024,182,124,52,6,0,0,0,120,80,45,0,0,145,0,37
"Arizona","Coconino",2024,152,109,41,2,0,0,0,108,74,45,0,0,152,0,0
"Arizona","Gila",2024,182,102,63,17,0,0,0,140,100,48,0,0,169,0,13
"Arizona","La Paz",2024,179,113,63,3,0,0,0,105,77,46,0,0,175,2,2
"Arizona","Maricopa",2024,213,39,161,12,0,1,0,261,93,64,0,0,144,57,12
"Arizona","Mohave",2024,176,175,1,0,0,0,0,69,28,17,0,0,0,0,176
"Arizona","Navajo",2024,182,182,0,0,0,0,0,45,19,12,0,0,0,0,182
"Arizona","Pima",2024,183,88,88,5,2,0,0,171,87,51,1,0,125,37,20
"Arizona","Pinal",2024,182,83,92,7,0,0,0,115,93,52,0,0,141,33,8
"Arizona","Santa Cruz",2024,178,129,47,1,0,1,0,205,65,38,0,0,0,134,44
"Arizona","Yavapai",2024,181,112,67,2,0,0,0,115,87,47,0,0,181,0,0
"Arizona","Yuma",2024,182,123,58,1,0,0,0,101,75,44,0,0,117,28,37
"Arkansas","Arkansas",2024,60,41,19,0,0,0,0,73,58,44,0,0,0,60,0
"Arkansas","Ashley",2024,61,43,18,0,0,0,0,67,57,37,0,0,0,61,0
"Arkansas","Clark",2024,150,142,8,0,0,0,0,67,46,34,0,0,150,0,0
"Arkansas","Crittenden",2024,182,151,26,5,0,0,0,133,58,42,0,1,148,33,0
"Arkansas","Garland",2024,47,30,17,0,0,0,0,73,62,45,0,0,0,47,0
"Arkansas","Jackson",2024,58,48,10,0,0,0,0,70,56,34,0,0,0,58,0
"Arkansas","Newton",2024,182,176,6,0,0,0,0,67,48,40,0,0,182,0,0
"Arkansas","Polk",2024,139,104,35,0,0,0,0,87,59,44,0,0,96,43,0
"Arkansas","Pulaski",2024,183,88,93,1,0,1,0,205,65,51,1,0,49,133,0
"Arkansas","Union",2024,61,37,24,0,0,0,0,75,62,44,0,0,0,61,0
"Arkansas","Washington",2024,182,150,31,1,0,0,0,101,54,43,0,0,149,33,0
"California","Alameda",2024,61,52,9,0,0,0,0,63,55,39,1,2,18,40,0
"California","Amador",2024,31,31,0,0,0,0,0,42,33,29,0,0,31,0,0
"California","Butte",2024,57,43,14,0,0,0,0,69,57,34,1,0,13,43,0
"California","Calaveras",2024,31,31,0,0,0,0,0,47,43,31,0,0,19,12,0
"California","Colusa",2024,173,22,151,0,0,0,0,72,60,53,0,0,1,172,0
"California","Contra Costa",2024,61,42,19,0,0,0,0,67,58,42,1,0,13,47,0
"California","Del Norte",2024,38,34,4,0,0,0,0,55,51,35,0,0,0,38,0
"California","El Dorado",2024,31,31,0,0,0,0,0,43,39,31,0,0,28,0,3
"California","Fresno",2024,182,96,76,9,1,0,0,151,84,49,0,0,124,58,0
"California","Glenn",2024,31,29,2,0,0,0,0,52,42,27,0,0,8,23,0
"California","Humboldt",2024,205,187,18,0,0,0,0,86,48,33,0,0,60,145,0
"California","Imperial",2024,157,63,79,15,0,0,0,133,100,54,0,0,98,44,15
"California","Inyo",2024,152,52,93,2,2,0,3,1322,86,58,0,0,82,54,16
"California","Kern",2024,152,68,79,5,0,0,0,122,84,52,0,0,102,50,0
"California","Lake",2024,31,31,0,0,0,0,0,36,26,15,0,0,0,31,0
"California","Los Angeles",2024,153,36,110,7,0,0,0,140,87,59,1,1,56,92,3
"California","Marin",2024,61,60,1,0,0,0,0,59,38,29,1,3,49,8,0
"California","Mariposa",2024,152,137,15,0,0,0,0,77,50,43,0,0,149,3,0
"California","Mono",2024,91,83,8,0,0,0,0,69,45,16,0,0,0,36,55
"California","Monterey",2024,122,117,5,0,0,0,0,61,45,37,1,0,97,24,0
"California","Nevada",2024,91,86,5,0,0,0,0,69,44,32,0,0,67,24,0
